Date,Tm,Opp,Result,MP,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG.1_AVG,FGA.1_AVG,FG%.1_AVG,2P.1_AVG,2PA.1_AVG,2P%.1_AVG,3P.1_AVG,3PA.1_AVG,3P%.1_AVG,FT.1_AVG,FTA.1_AVG,FT%.1_AVG,PTS.1_AVG,FG_players_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,3P%_players_AVG,FT_players_AVG,FTA_players_AVG,FT%_players_AVG,ORB_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PF_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,eFG%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,DRB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG
26/03/2021,DAL,IND,L 94-109,240,42.9,87.7,0.4911,31,57.5,0.5436,11.9,30.2,0.3912,17.5,22.3,0.7847,115.2,43.3,91.7,0.4757,30.2,55,0.5485,13.1,36.7,0.3621,13.8,17.3,0.7933,113.5,5.143743056,10.55209028,0.493185132,1.430736111,3.631590278,0.294881958,2.221833333,2.782847222,0.501345236,1.180944444,4.129868056,5.3108125,3.283048611,0.934375,0.522131944,1.854472222,1.779840278,13.94005556,2.095222222,0.597847792,0.563442993,0.358908708,0.269293167,4.9475,16.07700694,10.81379792,16.28233889,1.567033333,1.820045833,14.19709028,20.20803681,115.3326181,114.2844861,0.467159028,1.88300404,23.99042361
26/03/2021,IND,DAL,W 109-94,240,38.8,88.8,0.4365,24.9,51.7,0.4821,13.9,37.1,0.3761,13.3,17.3,0.7586,104.8,41.8,84.8,0.4927,26.1,44.4,0.5905,15.7,40.4,0.3913,14.6,18.2,0.8162,113.9,4.762298611,10.75260417,0.431309042,1.650701389,4.410416667,0.33209675,1.668493056,2.115486111,0.47039841,1.0265,3.6186875,4.6451875,2.683694444,0.826541667,0.238611111,1.123944444,2.063902778,12.84379167,-4.561847222,0.534806868,0.512382882,0.427598333,0.18652084,3.994880556,15.89489722,9.470736806,14.36296875,1.451763194,0.952859028,9.202154167,19.99675972,110.5518958,121.3314514,-0.874955556,2.547581693,21.23782639
26/03/2021,BRK,DET,W 113-111,240,40.3,85,0.475,29.1,54.5,0.5353,11.2,30.5,0.3723,15.2,18.8,0.7928,107,37.9,82.5,0.4587,26.5,50.2,0.5303,11.4,32.3,0.3464,17.3,23,0.7441,104.5,4.851736111,9.999951389,0.47331791,1.271569444,3.518395833,0.289075021,1.951513889,2.377444444,0.473103278,0.980944444,3.736145833,4.717090278,2.915180556,0.9164375,0.739638889,1.543243056,2.118243056,12.92655556,2.285194444,0.568100118,0.537218472,0.349039535,0.210541368,4.247334722,15.33086389,9.724465972,15.13065833,1.563329167,2.420035417,11.49115486,20.00006389,112.9339514,110.6373125,0.041033333,1.990470635,22.21490278
26/03/2021,DET,BRK,L 111-113,240,40.1,88.8,0.4536,25.3,49.3,0.5108,14.8,39.5,0.3682,16.5,21.3,0.775,111.5,42.8,88.1,0.489,31.3,54.9,0.5735,11.5,33.2,0.3402,17.7,23.4,0.7543,114.8,5.247034722,11.41966667,0.455567438,1.887375,4.925715278,0.316758396,2.200118056,2.833986111,0.473789972,1.199416667,4.032138889,5.231555556,3.209770833,0.887951389,0.502354167,1.5834375,2.129909722,14.5815625,-1.241041667,0.563887847,0.541239097,0.46507059,0.253681181,4.625239583,15.59679722,9.96293125,16.16711875,1.440820833,1.769848611,10.31510208,20.21294375,117.3216528,119.5062083,0.092071528,2.205916092,24.41319444
26/03/2021,ATL,GSW,W 124-108,240,42,88.3,0.4771,29.9,54.5,0.5542,12.1,33.8,0.3545,20.1,26.8,0.7667,116.2,39.8,88.3,0.4508,26.4,51.8,0.5094,13.4,36.5,0.3707,15,20.1,0.7543,108,4.662083333,9.733868056,0.474970465,1.312159722,3.685777778,0.278221118,2.317888889,3.100979167,0.559436035,1.045861111,4.222993056,5.268854167,2.734277778,0.817777778,0.452284722,1.518534722,1.856305556,12.95421528,4.844611111,0.581517035,0.545008944,0.407452431,0.311866417,4.616701389,16.68691667,10.82010417,14.57147778,1.454815972,1.735683333,11.93710347,19.99676042,114.2728056,106.8012222,0.917723611,1.991599033,22.22740972
26/03/2021,GSW,ATL,L 108-124,240,37.2,86.5,0.4295,25.7,53.2,0.4831,11.5,33.3,0.3416,16.4,20.6,0.7921,102.3,40,85.2,0.4707,26.7,50.1,0.5328,13.3,35.1,0.3739,17,20.5,0.842,110.3,4.605284722,10.52670139,0.412053264,1.3968125,3.995833333,0.273280486,2.117243056,2.61975,0.485641125,1.341395833,3.511833333,4.853229167,2.686069444,0.763083333,0.509368056,1.525409722,2.071090278,12.724625,-4.723638889,0.511267194,0.473979375,0.387717667,0.295164674,4.950456944,14.52976389,9.407298611,15.13173403,1.411274306,1.809566667,11.03225347,19.99541389,105.9222847,118.7816597,-1.223443056,1.880603281,21.536375
26/03/2021,CLE,LAL,L 86-100,240,41.2,85.2,0.4851,29.2,51.8,0.5644,12,33.4,0.3653,16.3,21,0.7782,110.7,40.5,83.4,0.4853,29.8,54.8,0.5431,10.7,28.6,0.3697,19.3,25.8,0.7471,111,5.009319444,10.0650625,0.466123312,1.446666667,3.872576389,0.276023271,2.005222222,2.544902778,0.515911444,0.982152778,3.787805556,4.769958333,3.330111111,0.947333333,0.582479167,1.684569444,2.309444444,13.47052778,0.975548611,0.577720583,0.540818813,0.416811521,0.282414771,4.101527778,15.65147292,9.7508875,16.62241806,1.708594444,1.972861111,12.99871319,20.00088056,112.4113611,113.2786181,-0.1468,2.253245048,23.10040972
26/03/2021,LAL,CLE,W 100-86,240,40.3,86,0.4684,30.4,56.4,0.5361,9.9,29.6,0.3374,17.2,21.3,0.8044,107.7,38,83.9,0.4557,28.5,55.5,0.5182,9.5,28.4,0.3321,17,22.2,0.7686,102.5,5.0053125,10.57642361,0.454110069,1.246597222,3.727236111,0.24502159,2.115340278,2.640631944,0.538426111,1.257729167,3.775770833,5.0335,2.7185,1.076958333,0.674923611,1.581173611,2.170451389,13.3725625,3.416361111,0.546889778,0.51209175,0.369547549,0.284829007,5.305317361,15.23893056,10.10136528,13.95725556,1.836252778,2.082076389,12.71855069,20.00211389,113.2283333,107.3492917,-0.107125,1.758727042,22.87644444
26/03/2021,BOS,MIL,W 122-114,240,43.6,97.2,0.4506,30.1,57.7,0.5226,13.5,39.5,0.3431,12.4,15,0.8364,113.1,44.1,91.6,0.4815,29.8,54,0.5516,14.3,37.6,0.3803,17.1,21.3,0.8075,119.6,5.563388889,12.16280556,0.450123243,1.640361111,4.776597222,0.312858903,1.643506944,1.944715278,0.463358604,1.029645833,4.188381944,5.218027778,3.418847222,0.974972222,0.520875,1.506618056,2.0263125,14.41064583,-4.219215278,0.551830535,0.519936382,0.410734681,0.15972534,3.834784028,15.78641944,9.491771528,15.58187292,1.631783333,1.585703472,10.48763611,20.20735903,109.4766528,116.4064236,0.077640972,2.571841871,24.54336806
26/03/2021,MIL,BOS,L 114-122,240,41.2,87.6,0.4705,25.7,49.4,0.5171,15.5,38.2,0.4069,17.6,22.7,0.7818,115.5,43.8,89.2,0.4931,28.7,51.9,0.5555,15.1,37.3,0.4062,13.7,18.9,0.7689,116.4,5.253340278,11.06677083,0.474740111,1.923875,4.791083333,0.337118847,2.292548611,2.891638889,0.534627708,1.2431875,3.791569444,5.034756944,3.251611111,0.738465278,0.571013889,1.527284722,2.176763889,14.72310417,0.061611111,0.595691868,0.564300708,0.452773396,0.28387916,4.995851389,14.94317083,9.834908333,15.96824097,1.249742361,1.896840278,10.69632431,20.21104306,122.1768611,122.2691458,0.31186875,2.31868732,24.31895139
