,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2P%_AVG,3P_AVG,3PA_AVG,FT_AVG,PTS_AVG,FG.1_AVG,FG%.1_AVG,2P%.1_AVG,3P.1_AVG,3P%.1_AVG,FT%.1_AVG,PTS.1_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,FT_players_AVG,FT%_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG,y
568,1.2613059066749326,-0.19399682889868394,1.5361889188593487,0.9454508747965796,1.3866399054216048,0.22750828487571115,-0.20218514644795157,1.152787390275322,1.665292204036238,-0.12093398251502176,-0.8666706800379266,-0.8077941710116885,-0.4590719605897858,-0.4462304543953498,-0.054349903994491994,-0.0954692397936286,0.05276174810822531,1.2253631761464738,0.25015148861055675,0.15626846300199182,1.1278158616046063,-0.1936361417954638,0.8946865639039517,0.6252912153630864,-0.5169450977704796,-0.0971537160744078,-1.0040042693205589,0.32993877954615625,1.1694703434311284,1.3645973212772564,1.0635478895808912,-0.5761570215217485,0.41224886972750574,0.5110513626407995,1.049990702939951,-2.234131973078534,-0.22514489164645476,-1.5988321409551938,0.32016470417457477,0.23126905609961845,1.363517371772744,-0.5694967939482737,0.38391815125446666,-0.7051910968705293,0.7404282619628528,1
832,-0.010644496651432961,-0.8200290151640472,0.5368568768836626,-0.45687737630369063,0.17597229195373043,0.6822591773773737,-0.09409345180867693,0.5833824960482029,0.48241505088217934,0.5238159630630186,0.433719378621394,-1.6540166689642555,-3.2205745410787947,-0.6536481530446737,-2.109734515442367,-1.1256870061937758,0.18742206319712046,1.3498878684979831,0.9007202359471655,0.16771185543036898,0.8683307536585759,0.3942925559886584,-1.4262215216172711,-1.937219564540489,0.8275620622459336,0.3664532157788639,0.9461439536076685,-0.9942951331058513,1.0548983105791858,1.4778564926950533,1.4829462934133957,0.32341499815547925,0.7903075919047319,-1.798036695592113,-2.4308685392474754,1.0457965430260656,0.7373747802128242,-1.0892764929051264,-1.6673681070925703,1.8609298222021884,1.4817049072003983,-0.4087060138351888,-0.10617398127260476,1.34360252610558,0.4397572874850195,0
396,-0.045021534579173086,0.2978856031669541,-0.3278849910885641,0.4978993052964933,-0.4012996826799593,-0.8184187678781158,-0.6994069417886157,-0.16583447004011317,-0.372676867060516,0.11660547111899185,0.08056776370629846,-0.029978880977437856,1.245559261934294,0.9460906491817186,1.5359714172048955,0.5823056065222583,0.5084919768175514,1.4034166597453461,-0.6562454659989903,-0.6992859314206837,0.09378132135860529,-0.1614487677036155,0.19853398203654227,0.28859183294360036,0.21379808896130353,0.532994281617268,-0.48186780963332326,0.5082303383958886,0.3099137516517172,-0.5524283182603739,1.459994392576217,-0.3646933779111602,-0.045310380696175656,-0.9496099798805269,-0.3730456259632257,0.6393881184726509,0.6443264653357201,-0.4617371019295561,0.5710359376872687,3.4883357609509535,0.31671684390908866,0.9207177469009853,-1.2575882241181817,-0.09407250017507629,0.34290592897005656,0
824,-0.49192302763978757,0.8121263275992142,-1.1589793155599226,-0.009325806803605351,-1.3126410870785186,-0.6365184108774504,-0.33189518001508145,-1.844080474077938,-1.4842963603860169,0.6256185860490241,1.110318267010125,0.9201212289992444,-0.8681834539955653,0.05681706761622639,-0.10801105286931627,-0.027691755162039925,0.5110238058216712,-0.622639231776199,-0.8534005482605845,-0.6468715192974412,-1.6980586628527234,-0.8444486226274984,-1.346616854958956,-1.0423806617224145,-0.6112171320756834,0.3421432199234011,0.8486365424612577,-0.2230653542871884,-1.112751267591923,-1.3802555366653717,-1.1289181492811857,-0.36446952227138135,-1.111234502222151,-0.8202304873395906,-2.3500548700580106,0.0024923575693461594,0.43792377476747957,0.4364984927754807,-0.5371237934605199,0.23996064863509026,-0.8727131149885368,0.32581960189174297,-1.1592604029970892,-0.009303697763786676,-1.0511144180183944,1
968,0.573765148120142,3.5845545810601,-2.242430216287771,0.8559405608965625,-1.6280026287765528,-0.5455682323771173,1.0516785113676343,1.0329126757011908,0.7959487541278317,1.4739737775990778,0.9815994540971498,-0.28840611089109935,1.1773740130333308,2.1762921722052924,-0.5421785301292713,2.2225207346067033,2.850666772397448,-1.7320110620440217,-0.4457968740278158,1.0411551650181743,1.4373928803812737,-0.18652261388320868,-0.31270148345817816,0.5410887747575894,-0.8711957556339615,2.421370177421646,0.3805398035030898,-1.6756620180209998,1.0342275722291598,-1.3386975947708768,-1.866004266241445,-0.004718312778555961,-0.4670704947760014,0.5075532120464629,-1.5295156828662877,-2.037793285555915,2.133239858872636,-0.2939731861022479,-2.724819954432897,0.22461656460925938,-0.4206556492116143,1.2287884808418281,-0.6240761835934586,0.45960252360362125,0.9320530745438272,0
514,-1.5919882413274573,-1.6920024174622297,-0.4355571302913317,-1.1132863449038177,0.7078108241393957,-0.4091429646266178,0.6409300717383903,-0.7052706856236997,-1.783578531665959,-1.8855127809391345,-1.4211517202784536,-1.7072222751229527,-1.6182211919061604,-0.7776219499385248,-1.0365115379458494,-2.494792195751866,-0.7924680222342267,-0.28185545660191513,-0.15730872940399998,0.7965009615779206,-0.43813591812096736,-0.5776940532005342,0.00240875013218593,-0.08277914243265146,-0.7073504096501634,-0.3450142698642697,1.6338071009260344,-0.12000315041704257,-0.956035605635816,0.7315017129561245,-0.4014058671598587,0.944834978439702,0.024081647708088835,0.11625770937154882,-0.6410495714864387,-0.261078275796672,-0.6096646278106123,1.3143813796891357,-0.46569565941592317,-0.6056820394363233,-0.3063317082536549,-1.4411031323800363,1.087784599815886,-0.5173953922442567,-0.6919107264353961,1
822,1.0206666411807566,-0.1716385365320652,1.3174798861037273,0.22936836359644192,0.24278617790670112,1.0005848021285386,-0.3102768410872262,-0.5853959710495692,0.8814579459221002,-1.851578573277132,-2.26937569255116,-0.594971746376908,-0.9363687028965276,-2.9447792841021503,0.3554261419587256,-1.88479483406757,-1.2491181258550759,1.3305100372343273,0.8180183854674676,-0.610863898488941,-0.6460041087908756,-1.7285973903108915,-0.17484497713260588,-0.783826882005888,0.3041242802455234,0.814334744015755,0.613081000928083,0.5811515001563625,-0.2156545139629901,2.1467789079512056,1.2685280643984793,-0.7678601181760186,0.08104700719731003,-0.5830487035809899,0.731036561307762,0.3423405985816006,1.3117912919510377,0.9047184780772218,0.8516648251333141,-0.6430226203609344,0.4480414358800693,-2.671856373844333,1.1112000602041994,-0.26249450648865685,-0.16431042812844895,0
825,0.09248661713178499,-0.7529541380641878,0.7219183661384193,0.3487154487964645,1.3305162412211073,-0.40914296462661864,-0.029238435025112763,-0.31567786325777564,-0.20165848347197698,-0.9692891740650755,-0.09105732017767323,0.11696993603228725,-1.4818506941042335,-1.0756358847795073,-0.29826421706188083,-1.1663534969727307,-1.2612866982561581,0.39410516813501467,-0.8085230211152566,-0.5394346142363993,-0.5540366723958052,0.05023880565500297,-0.9639371833640181,-0.7667463286044985,-0.7607681241766611,-1.3979143579604718,-0.6885031437029278,0.45897382051035385,-0.8560941174957644,0.4849647996656655,0.17836193366600214,0.29543600880007426,-0.7674458028328258,0.749949026746654,0.7280506336670293,-0.34413672694062836,-0.7876142015151275,-0.787190291904627,0.8830230937002883,-1.4345121086485362,0.0038847875438037254,-0.9103503112720164,0.4341956213121723,-0.8233601110016896,-1.149723689192301,1
766,-0.5606771034952653,-0.05984707469896823,-0.6307128825963478,-1.6503482283039206,-1.406180527412681,1.7736613193813662,1.3110985785018932,1.1228187116317894,0.6249303705392927,1.1006974933170537,1.4007607166599267,1.0189316404368225,1.0410035152314043,1.279866256203619,0.44323529466298617,1.8836333114487618,0.528352429009236,-0.682063317915973,2.0025986341537756,1.371853106090457,1.0790466684490396,1.9201190790978566,-0.6293308948913405,-1.2805564309924191,-0.03495723318053048,-0.6577665267437139,-0.25338942519996493,0.45588128640595427,1.103644857189219,-1.0351047236505477,0.08603943181683961,0.6465951275114395,0.2031926402894874,-2.5373823835488647,-1.39841700920681,-0.04800583301344473,-0.9640540598467708,-0.09873238785097291,-0.06269088654662616,-0.6145838550582914,-0.4982401463832618,1.103120597502359,0.0635997717871545,-0.704077392977317,0.26472010023103193,1
193,-0.8700704448449241,0.4767519420999138,-1.2801104721630394,0.3188786774964594,-2.0181957227419174,-1.6369703743811095,-1.8019422271092174,0.1638209950387464,-1.1565111251746496,-0.39240764381103793,-0.32539156932694224,0.5350139844220271,0.0864100306179201,-0.9230527501409244,-1.1308250723319069,-0.19035771827785317,1.6633940262363454,-0.530799020021683,-0.9321095667078033,-0.8152938901209694,0.2979459182241303,0.900250123813113,2.038033028357815,1.7741861104775962,-0.013031772244995604,0.4857790355403169,0.30526862405618005,0.9716853166160355,0.06078739838554769,-0.9548760506689409,-0.4666563478419566,-1.8393865112537064,-0.5594665791935881,-0.14913397821388757,1.1785023450906456,-0.377177345576273,-0.6596749257057352,0.645001064823409,0.31716771141753686,1.0373081989855908,-0.8961806702732418,-0.37056527420316626,-1.020692283425018,-0.6411751035556429,0.6221224187043385,0
