,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
26,2021/3/26,CLE,LAL,L 86-100,240,31,80,0.388,26,54,0.481,5,26,0.192,19,28,0.679,86,38,78,0.487,32,52,0.615,6,26,0.231,18,25,0.72,100
27,2021/3/26,LAL,CLE,W 100-86,240,38,78,0.487,32,52,0.615,6,26,0.231,18,25,0.72,100,31,80,0.388,26,54,0.481,5,26,0.192,19,28,0.679,86
28,2021/3/26,BOS,MIL,W 122-114,240,43,88,0.489,21,41,0.512,22,47,0.468,14,16,0.875,122,44,99,0.444,25,52,0.481,19,47,0.404,7,11,0.636,114
29,2021/3/26,MIL,BOS,L 114-122,240,44,99,0.444,25,52,0.481,19,47,0.404,7,11,0.636,114,43,88,0.489,21,41,0.512,22,47,0.468,14,16,0.875,122
30,2021/3/26,HOU,MIN,L 101-107,240,37,87,0.425,20,43,0.465,17,44,0.386,10,13,0.769,101,39,103,0.379,29,65,0.446,10,38,0.263,19,24,0.792,107
31,2021/3/26,MIN,HOU,W 107-101,240,39,103,0.379,29,65,0.446,10,38,0.263,19,24,0.792,107,37,87,0.425,20,43,0.465,17,44,0.386,10,13,0.769,101
32,2021/3/26,DEN,NOP,W 113-108,240,47,93,0.505,33,65,0.508,14,28,0.5,5,7,0.714,113,39,78,0.5,27,49,0.551,12,29,0.414,18,20,0.9,108
33,2021/3/26,NOP,DEN,L 108-113,240,39,78,0.5,27,49,0.551,12,29,0.414,18,20,0.9,108,47,93,0.505,33,65,0.508,14,28,0.5,5,7,0.714,113
34,2021/3/26,ORL,POR,L 105-112,240,42,95,0.442,30,68,0.441,12,27,0.444,9,17,0.529,105,40,85,0.471,22,45,0.489,18,40,0.45,14,21,0.667,112
35,2021/3/26,POR,ORL,W 112-105,240,40,85,0.471,22,45,0.489,18,40,0.45,14,21,0.667,112,42,95,0.442,30,68,0.441,12,27,0.444,9,17,0.529,105
36,2021/3/26,PHO,TOR,W 104-100,240,43,90,0.478,34,54,0.63,9,36,0.25,9,9,1,104,37,90,0.411,25,45,0.556,12,45,0.267,14,16,0.875,100
37,2021/3/26,TOR,PHO,L 100-104,240,37,90,0.411,25,45,0.556,12,45,0.267,14,16,0.875,100,43,90,0.478,34,54,0.63,9,36,0.25,9,9,1,104
38,2021/3/26,MEM,UTA,L 114-117,240,44,97,0.454,32,67,0.478,12,30,0.4,14,18,0.778,114,45,98,0.459,33,65,0.508,12,33,0.364,15,18,0.833,117
39,2021/3/26,UTA,MEM,W 117-114,240,45,98,0.459,33,65,0.508,12,33,0.364,15,18,0.833,117,44,97,0.454,32,67,0.478,12,30,0.4,14,18,0.778,114
40,2021/3/25,LAL,PHI,L 101-109,240,34,78,0.436,25,52,0.481,9,26,0.346,24,33,0.727,101,39,80,0.488,22,35,0.629,17,45,0.378,14,21,0.667,109
41,2021/3/25,PHI,LAL,W 109-101,240,39,80,0.488,22,35,0.629,17,45,0.378,14,21,0.667,109,34,78,0.436,25,52,0.481,9,26,0.346,24,33,0.727,101
42,2021/3/25,MIA,POR,L 122-125,240,47,84,0.56,31,50,0.62,16,34,0.471,12,13,0.923,122,44,92,0.478,24,46,0.522,20,46,0.435,17,19,0.895,125
43,2021/3/25,POR,MIA,W 125-122,240,44,92,0.478,24,46,0.522,20,46,0.435,17,19,0.895,125,47,84,0.56,31,50,0.62,16,34,0.471,12,13,0.923,122
44,2021/3/25,NYK,WAS,W 106-102,240,34,93,0.366,27,65,0.415,7,28,0.25,31,42,0.738,106,37,80,0.463,29,54,0.537,8,26,0.308,20,33,0.606,102
45,2021/3/25,WAS,NYK,L 102-106,240,37,80,0.463,29,54,0.537,8,26,0.308,20,33,0.606,102,34,93,0.366,27,65,0.415,7,28,0.25,31,42,0.738,106
46,2021/3/25,GSW,SAC,L 119-141,240,45,88,0.511,28,56,0.5,17,32,0.531,12,12,1,119,53,89,0.596,34,51,0.667,19,38,0.5,16,19,0.842,141
47,2021/3/25,SAC,GSW,W 141-119,240,53,89,0.596,34,51,0.667,19,38,0.5,16,19,0.842,141,45,88,0.511,28,56,0.5,17,32,0.531,12,12,1,119
48,2021/3/25,LAC,SAS,W 98-85,240,34,89,0.382,21,55,0.382,13,34,0.382,17,18,0.944,98,33,82,0.402,25,59,0.424,8,23,0.348,11,13,0.846,85
49,2021/3/25,SAS,LAC,L 85-98,240,33,82,0.402,25,59,0.424,8,23,0.348,11,13,0.846,85,34,89,0.382,21,55,0.382,13,34,0.382,17,18,0.944,98
50,2021/3/24,CHI,CLE,L 94-103,240,37,83,0.446,29,55,0.527,8,28,0.286,12,14,0.857,94,42,92,0.457,31,63,0.492,11,29,0.379,8,10,0.8,103
51,2021/3/24,CLE,CHI,W 103-94,240,42,92,0.457,31,63,0.492,11,29,0.379,8,10,0.8,103,37,83,0.446,29,55,0.527,8,28,0.286,12,14,0.857,94
52,2021/3/24,CHO,HOU,W 122-97,240,41,80,0.513,23,42,0.548,18,38,0.474,22,29,0.759,122,33,86,0.384,17,37,0.459,16,49,0.327,15,22,0.682,97
